scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),REQUEST:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),REQUEST:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),REQUEST:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),REQUEST:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),REQUEST:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),REQUEST:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),REQUEST:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),REQUEST:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),AVAILABLE:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),AVAILABLE:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),AVAILABLE:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),AVAILABLE:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),Stored: diesel_group(diesel_fuel_tank) (kJ),SOC: diesel_group(diesel_fuel_tank),op-state: elec_group(automated_transfer_switch),op-state: elec_group(battery),op-state: building_cooling,op-state: building_electrical,op-state: building_heating,op-state: elec_group(electric_bus0),op-state: elec_group(electric_bus1),op-state: electric_pump,op-state: electric_utility,op-state: elec_group(power_lines),op-state: elec_group(pv_array)
blue_sky,P0000-00-00T00:00:00,27.000,220.4,0,26.3,48.2,10,137.5,0,100,122,14.1,220.4,0,26.3,48.2,10,137.5,0,222,122,14.1,220.4,0,26.3,48.2,10,521.5,0,100,500,314.7,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,28.000,220.4,0,26.3,48.2,10,115.4,0,0,199.9,12.3,220.4,0,26.3,48.2,10,115.4,0,0,199.9,12.3,220.4,0,26.3,48.2,10,421.5,0,100,500,321.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,29.000,230.7,0,26.3,52.3,10,133.8,0,100,122.4,13.5,230.7,0,26.3,52.3,10,133.8,0,222.4,122.4,13.5,230.7,0,26.3,52.3,10,517.4,0,100,500,315,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,30.000,231.7,0,26.3,52.7,10,113.8,0,0,202.8,10.8,231.7,0,26.3,52.7,10,113.8,0,0,202.8,10.8,231.8,0,26.3,52.7,10,417,0,100,500,321.1,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,31.000,703.7,0.5,26.3,241.5,0,343.8,0,100,500,4.1,2529.9,0.5,26.3,972,10,343.8,0,1346.5,1246.5,4.1,703.7,0.5,26.3,241.5,0,343.8,0,100,500,461.5,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,32.000,1359.6,0,26.3,503.8,10,284.1,0,0,110.7,45.7,1359.6,0,26.3,503.8,10,284.1,0,0,110.7,45.7,1359.6,0,26.3,503.8,10,679.4,0,100,500,308.2,14328000.000,0.995,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,32.225,1359.6,0.5,26.3,503.8,10,284.1,0,100,35.7,45.7,1359.6,0.5,26.3,503.8,10,284.1,0,135.7,35.7,45.7,1359.6,0.5,26.3,503.8,10,754.4,0,100,500,128.3,14328000.000,0.995,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,33.000,1205.1,0.5,26.3,442,10,295.4,412.2,0,0,39,1205.1,0.5,26.3,442,10,295.4,412.2,0,0,39,1205.1,0.5,26.3,442,10,900.9,412.2,100,499.5,39,14328000.000,0.995,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,34.000,1117,0.5,26.3,406.8,10,264.4,872.4,0,0,33.1,1117,0.5,26.3,406.8,10,264.4,872.4,0,0,33.1,1117.1,0.5,26.3,406.8,10,870.4,872.4,100,500,33.1,14328000.000,0.995,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,35.000,1090.5,0.5,26.3,396.2,10,247.3,1135.9,0,0,27,1090.5,0.5,26.3,396.2,10,247.3,1135.9,0,0,27,1090.5,0.5,26.3,396.2,10,853.3,1135.9,100,500,27,14328000.000,0.995,available,available,available,available,available,available,available,available,available,available,available
